,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
176,Darrell Henderson,73,LAR,1.0,3,20.0,114.0,1,3.0,1.0,6.0,0,BUF
177,Clyde Edwards-Helaire,83,KC,1.0,3,20.0,64.0,0,6.0,5.0,70.0,0,BAL
178,Ezekiel Elliott,88,DAL,1.0,3,14.0,34.0,1,11.0,6.0,24.0,0,SEA
179,Jerick McKinnon,75,SF,3.0,3,14.0,38.0,1,4.0,3.0,39.0,0,NYG
180,Aaron Jones,88,GB,1.0,3,16.0,69.0,1,4.0,2.0,17.0,0,NO
181,Devin Singletary,79,BUF,1.0,3,13.0,71.0,0,5.0,4.0,50.0,0,LAR
182,Sony Michel,82,NE,1.0,3,9.0,117.0,0,2.0,2.0,23.0,0,LV
183,Todd Gurley,78,ATL,1.0,3,14.0,80.0,1,2.0,1.0,2.0,0,CHI
184,Brian Hill,67,ATL,2.0,3,9.0,58.0,1,3.0,1.0,22.0,0,CHI
185,Miles Sanders,84,PHI,1.0,3,18.0,95.0,0,8.0,4.0,12.0,0,CIN
186,Myles Gaskin,76,MIA,1.0,3,22.0,66.0,0,5.0,5.0,29.0,0,JAX
187,Kareem Hunt,84,CLE,2.0,3,16.0,46.0,0,3.0,2.0,18.0,1,WAS
188,Jonathan Taylor,81,IND,1.0,3,13.0,59.0,1,1.0,1.0,3.0,0,NYJ
189,Antonio Gibson,76,WAS,3.0,3,9.0,49.0,1,3.0,3.0,11.0,0,CLE
190,David Johnson,75,HOU,1.0,3,13.0,23.0,1,3.0,2.0,23.0,0,PIT
191,Chris Carson,89,SEA,1.0,3,14.0,64.0,0,3.0,3.0,12.0,0,DAL
192,Kalen Ballage,67,NYJ,4.0,3,2.0,8.0,0,5.0,5.0,44.0,0,IND
193,Nyheim Hines,82,IND,2.0,3,7.0,21.0,0,5.0,4.0,40.0,0,NYJ
194,Adrian Peterson,76,DET,1.0,3,22.0,75.0,0,1.0,1.0,10.0,0,ARI
195,Ronald Jones II,83,TB,1.0,3,13.0,53.0,0,4.0,2.0,20.0,0,DEN
196,Josh Jacobs,91,LV,1.0,3,16.0,71.0,0,4.0,3.0,12.0,0,NE
197,Kenyan Drake,81,ARI,1.0,3,18.0,73.0,0,1.0,1.0,6.0,0,DET
198,Chris Thompson,75,JAX,2.0,3,2.0,3.0,0,6.0,5.0,35.0,0,MIA
199,Joe Mixon,87,CIN,1.0,3,17.0,49.0,0,3.0,2.0,16.0,0,PHI
200,Giovani Bernard,81,CIN,1.0,3,0.0,0.0,0,3.0,3.0,55.0,0,PHI
201,J.K. Dobbins,77,BAL,1.0,3,1.0,6.0,0,4.0,4.0,38.0,0,KC
202,JD McKissic,77,WAS,2.0,3,5.0,15.0,0,4.0,3.0,37.0,0,CLE
203,Melvin Gordon,83,DEN,1.0,3,8.0,26.0,0,6.0,4.0,12.0,0,TB
204,Latavius Murray,82,NO,2.0,3,12.0,58.0,0,1.0,1.0,7.0,0,GB
205,David Montgomery,79,CHI,1.0,3,14.0,45.0,0,3.0,2.0,9.0,0,ATL
206,Frank Gore,79,NYJ,1.0,3,15.0,57.0,0,1.0,1.0,5.0,0,IND
207,Tarik Cohen,81,CHI,2.0,3,2.0,21.0,0,6.0,3.0,20.0,0,ATL
208,Jordan Howard,78,MIA,1.0,3,3.0,1.0,1,0.0,0.0,0.0,0,JAX
209,Anthony McFarland Jr.,67,PIT,3.0,3,6.0,42.0,0,2.0,1.0,7.0,0,HOU
210,Royce Freeman,75,DEN,2.0,3,2.0,4.0,0,2.0,2.0,31.0,0,TB
211,Jordan Wilkins,73,IND,3.0,3,9.0,39.0,0,1.0,1.0,6.0,0,NYJ
212,Chase Edmonds,79,ARI,2.0,3,3.0,13.0,0,2.0,2.0,21.0,0,DET
213,Jalen Richard,77,LV,3.0,3,1.0,14.0,0,3.0,3.0,8.0,0,NE
214,Joshua Kelley,67,LAC,3.0,3,8.0,43.0,0,2.0,2.0,9.0,0,CAR
215,LeSean McCoy,83,TB,2.0,3,0.0,0.0,0,4.0,2.0,24.0,0,DEN
216,Lamical Perine,67,NYJ,3.0,3,7.0,24.0,0,2.0,2.0,-1.0,0,IND
217,JJ Taylor,67,NE,3.0,3,11.0,43.0,0,1.0,0.0,0.0,0,LV
218,Leonard Fournette,81,TB,1.0,3,7.0,15.0,0,2.0,2.0,7.0,0,DEN
219,Kerryon Johnson,76,DET,2.0,3,3.0,16.0,0,1.0,1.0,14.0,0,ARI
220,Gus Edwards,81,BAL,2.0,3,4.0,39.0,0,0.0,0.0,0.0,0,KC
221,Wayne Gallman,72,NYG,1.0,3,4.0,7.0,0,3.0,2.0,7.0,0,SF
222,Carlos Hyde,79,SEA,2.0,3,4.0,12.0,0,1.0,1.0,11.0,0,DAL
223,Tyler Ervin,70,GB,3.0,3,1.0,5.0,0,2.0,2.0,8.0,0,NO
224,Devontae Booker,71,LV,2.0,3,3.0,31.0,0,0.0,0.0,0.0,0,NE
225,Mark Ingram,79,BAL,1.0,3,7.0,30.0,0,1.0,0.0,0.0,0,KC
226,D'Andre Swift,76,DET,3.0,3,0.0,0.0,0,2.0,1.0,19.0,0,ARI
227,JaMycal Hasty,67,SF,6.0,3,2.0,9.0,0,1.0,1.0,9.0,0,NYG
228,Darrel Williams,67,KC,3.0,3,2.0,6.0,0,2.0,2.0,1.0,0,BAL
229,Jamaal Williams,78,GB,2.0,3,6.0,14.0,0,1.0,1.0,3.0,0,NO
230,Alexander Mattison,73,MIN,2.0,3,8.0,27.0,0,0.0,0.0,0.0,0,TEN
