NAME,RTG,TEAM,DEP,WEEK,ATT,YDS,TD,TGTS,REC,REC YDS,REC TD
Saquon Barkley,93,NYG,1,1,15,6,0,9,6,60,0
Myles Gaskin,67,MIA,5,1,9,40,0,4,4,26,0
Marlon Mack,82,IND,2,1,4,26,0,3,3,30,0
Boston Scott,70,PHI,2,1,9,35,0,2,2,19,0
Devin Singletary,81,BUF,1,1,9,30,0,7,5,23,0
Devontae Booker,70,LV,3,1,4,29,0,3,3,23,0
James White,84,NE,1,1,5,22,0,3,3,30,0
Joe Mixon,88,CIN,1,1,19,69,0,2,1,2,0
Latavius Murray,77,NO,2,1,15,48,0,1,0,0,0
Tarik Cohen,79,CHI,2,1,7,41,0,2,2,6,0
Nick Chubb,90,CLE,1,1,10,60,0,1,1,6,0
Le'Veon Bell,87,KC,1,1,6,14,0,2,2,32,0
Antonio Gibson,71,WAS,1,1,9,36,0,2,2,8,0
Tyler Ervin,69,GB,4,1,3,38,0,1,1,6,0
Cam Akers,76,LAR,1,1,14,39,0,1,1,4,0
Jamaal Williams,79,GB,3,1,7,21,0,4,4,21,0
Phillip Lindsay,82,DEN,2,1,7,24,0,1,1,11,0
Tony Pollard,76,DAL,2,1,2,10,0,3,2,22,0
JJ Taylor,67,NE,,1,4,28,0,1,1,4,0
Rex Burkhead,78,NE,4,1,7,32,0,0,0,0,0
Darrel Williams,67,KC,2,1,7,23,0,2,2,7,0
Mark Ingram,89,BAL,1,1,10,29,0,0,0,0,0
Giovani Bernard,79,CIN,2,1,1,7,0,5,4,21,0
Tevin Coleman,86,SF,2,1,4,18,0,2,1,6,0
Frank Gore,82,NYJ,2,1,6,24,0,0,0,0,0
Matt Breida,81,MIA,2,1,5,22,0,0,0,0,0
Corey Clement,72,PHI,3,1,6,19,0,2,2,2,0
Brian Hill,67,ATL,3,1,3,12,0,2,2,8,0
Leonard Fournette,85,TB,1,1,5,5,0,1,1,14,0
Gus Edwards,74,BAL,3,1,4,17,0,0,0,0,0
James Conner,83,PIT,1,1,6,9,0,4,2,8,0
Jalen Richard,75,LV,2,1,0,0,0,1,1,15,0
Wayne Gallman,71,NYG,3,1,0,0,0,1,1,14,0
Kerryon Johnson,79,DET,2,1,7,14,0,0,0,0,0
Duke Johnson,80,HOU,2,1,5,14,0,1,0,0,0
A.J. Dillon,70,GB,2,1,2,14,0,0,0,0,0
Royce Freeman,77,DEN,3,1,1,0,0,1,1,12,0
Patrick Laird,67,MIA,4,1,0,0,0,2,2,9,0
Darrell Henderson,72,LAR,2,1,3,6,0,0,0,0,0
Ito Smith,74,ATL,2,1,1,4,0,3,3,2,0
Chris Thompson,79,JAX,2,1,0,0,0,2,2,6,0
Khari Blasingame,67,TEN,3,1,0,0,0,1,1,5,0
D'Ernest Johnson,67,CLE,3,1,1,5,0,0,0,0,0
Justin Jackson,74,LAC,2,1,2,4,0,0,0,0,0
Travis Homer,67,SEA,5,1,3,-1,0,2,2,4,0
Jaylen Samuels,71,PIT,4,1,1,2,0,1,1,1,0
LeSean McCoy,79,TB,4,1,0,0,0,1,1,2,0
Jason Huntley,67,PHI,4,1,1,1,0,0,0,0,0
Dion Lewis,76,NYG,2,1,1,1,0,1,0,0,0
