,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
266,Cole Beasley,86,BUF,1.0,3,7,6,100,0,0,0,0,LAR
267,Emmanuel Sanders,86,NO,1.0,3,5,4,56,1,0,0,0,GB
268,Will Fuller,87,HOU,1.0,3,5,4,54,1,0,0,0,PIT
269,Stefon Diggs,94,BUF,1.0,3,6,4,49,1,0,0,0,LAR
270,Kalif Raymond,69,TEN,2.0,3,3,3,118,0,1,-3,0,MIN
271,Tim Patrick,77,DEN,1.0,3,4,4,43,1,0,0,0,TB
272,Mike Evans,90,TB,1.0,3,4,2,2,2,0,0,0,DEN
273,Sammy Watkins,79,KC,1.0,3,8,7,62,0,0,0,0,BAL
274,Anthony Miller,76,CHI,1.0,3,5,2,41,1,1,9,0,ATL
275,Terry McLaurin,91,WAS,1.0,3,8,4,83,0,1,3,0,CLE
276,Adam Thielen,90,MIN,1.0,3,5,3,29,1,1,4,0,TEN
277,Gabriel Davis,72,BUF,2.0,3,4,4,81,0,0,0,0,LAR
278,Corey Davis,80,TEN,1.0,3,6,5,69,0,0,0,0,MIN
279,Devante Parker,87,MIA,1.0,3,5,5,69,0,0,0,0,JAX
280,CeeDee Lamb,79,DAL,1.0,3,7,5,65,0,1,1,0,SEA
281,Scott Miller,72,TB,2.0,3,5,3,83,0,0,0,0,DEN
282,Robby Anderson,85,CAR,1.0,3,5,5,55,0,0,0,0,LAC
283,Jerry Jeudy,75,DEN,1.0,3,9,5,55,0,0,0,0,TB
284,Kendrick Bourne,75,SF,2.0,3,6,4,63,0,0,0,0,NYG
285,Odell Beckham Jr,93,CLE,1.0,3,6,4,59,0,0,0,0,WAS
286,Curtis Samuel,85,CAR,2.0,3,4,4,45,0,4,7,0,LAC
287,Devin Duvernay,72,BAL,1.0,3,3,2,7,0,0,0,0,KC
288,Preston Williams,72,MIA,2.0,3,2,2,7,1,0,0,0,JAX
289,AJ Green,82,CIN,1.0,3,6,5,36,0,0,0,0,PHI
290,James Washington,78,PIT,2.0,3,7,5,36,0,0,0,0,HOU
291,Golden Tate,78,NYG,1.0,3,7,5,36,0,0,0,0,SF
292,D.J. Moore,81,CAR,1.0,3,4,2,65,0,0,0,0,LAC
293,Laviska Shenault Jr,78,JAX,1.0,3,6,5,33,0,1,1,0,MIA
294,Keelan Cole,75,JAX,1.0,3,5,4,43,0,0,0,0,MIA
295,Tre'Quan Smith,74,NO,3.0,3,6,4,42,0,0,0,0,GB
296,T.Y. Hilton,82,IND,1.0,3,3,3,52,0,0,0,0,NYJ
297,Adam Humphries,76,TEN,1.0,3,7,4,41,0,1,0,0,MIN
298,Marvin Jones,86,DET,1.0,3,3,3,51,0,0,0,0,ARI
299,Olamide Zaccheaus,67,ATL,5.0,3,6,4,41,0,0,0,0,CHI
300,Josh Reynolds,73,LAR,1.0,3,5,4,60,0,0,0,0,BUF
301,Jarvis Landry,87,CLE,1.0,3,4,4,36,0,0,0,0,WAS
302,Isaiah Wright,73,WAS,1.0,3,6,4,24,0,1,6,0,CLE
303,Bryan Edwards,71,LV,2.0,3,3,2,48,0,0,0,0,NE
304,Kenny Stills,85,HOU,4.0,3,4,3,35,0,0,0,0,PIT
305,Chris Conley,75,JAX,2.0,3,8,3,34,0,0,0,0,MIA
306,Darius Slayton,77,NYG,1.0,3,7,3,53,0,0,0,0,SF
307,Zay Jones,78,LV,2.0,3,3,3,32,0,0,0,0,NE
308,K.J. Hamler,69,DEN,2.0,3,5,3,30,0,1,-2,0,TB
309,Jakeem Grant,74,MIA,1.0,3,1,1,19,0,1,29,0,JAX
310,Damiere Byrd,72,NE,1.0,3,3,3,27,0,0,0,0,LV
311,Brandon Powell,67,ATL,2.0,3,4,3,27,0,0,0,0,CHI
312,Michael Pittman Jr,72,IND,1.0,3,4,3,26,0,0,0,0,NYJ
313,N'Keal Harry,74,NE,1.0,3,4,2,34,0,1,2,0,LV
314,Lawrence Cager,67,NYJ,3.0,3,4,2,35,0,0,0,0,IND
